officer_name,designation,department,district,official_phone,official_email,source_url,source_type,verification_status,last_verified
,District Panchayat Secretary,Rural Development & Panchayat Raj Department,Villupuram,7402606329,dpovpm@gmail.com,https://tnrd.tn.gov.in/rdweb_newsite/project/reports/Public/contact_reports.php,Official Tamil Nadu Government department directory,SOURCE_PUBLISHED,2026-09-14
,Personal Assistant to Collector,Rural Development & Panchayat Raj Department,Villupuram,7402606325,papd.tnvpm@nic.in,https://tnrd.tn.gov.in/rdweb_newsite/project/reports/Public/contact_reports.php,Official Tamil Nadu Government department directory,SOURCE_PUBLISHED,2026-09-14
,District Collector,Rural Development & Panchayat Raj Department,Virudhunagar,7373003585,collrvnr@nic.in,https://tnrd.tn.gov.in/rdweb_newsite/project/reports/Public/contact_reports.php,Official Tamil Nadu Government department directory,SOURCE_PUBLISHED,2026-09-14
,Joint Director,Rural Development & Panchayat Raj Department,Virudhunagar,7373704226,drdavnr@nic.in,https://tnrd.tn.gov.in/rdweb_newsite/project/reports/Public/contact_reports.php,Official Tamil Nadu Government department directory,SOURCE_PUBLISHED,2026-09-14
,Assistant Director (Panchayats),Rural Development & Panchayat Raj Department,Virudhunagar,7402608260,adp.tnvnr@nic.in,https://tnrd.tn.gov.in/rdweb_newsite/project/reports/Public/contact_reports.php,Official Tamil Nadu Government department directory,SOURCE_PUBLISHED,2026-09-14
,Assistant Director (Audit),Rural Development & Panchayat Raj Department,Virudhunagar,7402608261,adauditvnr@gmail.com,https://tnrd.tn.gov.in/rdweb_newsite/project/reports/Public/contact_reports.php,Official Tamil Nadu Government department directory,SOURCE_PUBLISHED,2026-09-14
,District Panchayat Secretary,Rural Development & Panchayat Raj Department,Virudhunagar,7402608259,dpovnr2013@gmail.com,https://tnrd.tn.gov.in/rdweb_newsite/project/reports/Public/contact_reports.php,Official Tamil Nadu Government department directory,SOURCE_PUBLISHED,2026-09-14
,Personal Assistant to Collector,Rural Development & Panchayat Raj Department,Virudhunagar,7402608263,papd.tnvnr@nic.in,https://tnrd.tn.gov.in/rdweb_newsite/project/reports/Public/contact_reports.php,Official Tamil Nadu Government department directory,SOURCE_PUBLISHED,2026-09-14
,Collector,District Administration,Chennai,9444131000,collrchn@nic.in,https://chennai.nic.in/contact-directory2/,Official Chennai District Government contact directory,SOURCE_PUBLISHED,2026-09-14
,District Revenue Officer (DRO),Revenue Administration,Chennai,9445000901,drochn@nic.in,https://chennai.nic.in/contact-directory2/,Official Chennai District Government contact directory,SOURCE_PUBLISHED,2026-09-14
,"Revenue Divisional Officer, Chennai Central",Revenue Administration,Chennai,9445461834,,https://chennai.nic.in/contact-directory2/,Official Chennai District Government contact directory,SOURCE_PUBLISHED,2026-09-14
,"Revenue Divisional Officer, Chennai North",Revenue Administration,Chennai,9385250785,,https://chennai.nic.in/contact-directory2/,Official Chennai District Government contact directory,SOURCE_PUBLISHED,2026-09-14
,"Revenue Divisional Officer, Chennai South",Revenue Administration,Chennai,9150042806,,https://chennai.nic.in/contact-directory2/,Official Chennai District Government contact directory,SOURCE_PUBLISHED,2026-09-14
,Assistant Director of Survey and Land Records,Survey & Land Records,Chennai,9940477088,adsurchn@nic.in,https://chennai.nic.in/contact-directory2/,Official Chennai District Government contact directory,SOURCE_PUBLISHED,2026-09-14
